D,S,ho,do,hc,hz,du,J,Q,Hi,y
25,150,15,6,42,125,15,2.29,5,7,1040.36
25,150,15,6,42,125,15,2.29,5,8,942.78
25,150,15,6,42,125,15,2.29,5,9,921.82
25,150,15,6,42,125,15,2.29,5,10,996.45
25,150,15,6,42,125,15,2.29,5,11,1183.2
25,150,15,6,42,125,15,2.29,5,12,1244.52
25,150,15,6,42,125,15,2.29,7.5,1,5605.75
25,150,15,6,42,125,15,2.29,7.5,2,6345.69
25,150,15,6,42,125,15,2.29,7.5,3,2941.94
25,150,15,6,42,125,15,2.29,7.5,4,2832.38
25,150,15,6,42,125,15,2.29,7.5,5,3278.11
25,150,15,6,42,125,15,2.29,7.5,6,3659.04
25,150,15,6,42,125,15,2.29,7.5,7,2855
25,150,15,6,42,125,15,2.29,7.5,8,2571.37
25,150,15,6,42,125,15,2.29,7.5,9,3230.04
25,150,15,6,42,125,15,2.29,7.5,10,2960.4
25,150,15,6,42,125,15,2.29,7.5,11,2961.35
25,150,15,6,42,125,15,2.29,7.5,12,3199.43
25,150,15,6,42,125,15,2.29,10,1,7970.98
25,150,15,6,42,125,15,2.29,10,2,5181.19
25,150,15,6,42,125,15,2.29,10,3,4405.47
25,150,15,6,42,125,15,2.29,10,4,6144.94
25,150,15,6,42,125,15,2.29,10,5,6490.3
25,150,15,6,42,125,15,2.29,10,6,5085.6
25,150,15,6,42,125,15,2.29,10,7,5218.94
25,150,15,6,42,125,15,2.29,10,8,3838.32
25,150,15,6,42,125,15,2.29,10,9,5614.88
25,150,15,6,42,125,15,2.29,10,10,5159.2
25,150,15,6,42,125,15,2.29,10,11,6194.62
25,150,15,6,42,125,15,2.29,10,12,6243.83
25,150,15,6,42,125,20,1.15,5,1,3451.37
25,150,15,6,42,125,20,1.15,5,2,3359.63
25,150,15,6,42,125,20,1.15,5,3,2445.68
25,150,15,6,42,125,20,1.15,5,4,2075.88
25,150,15,6,42,125,20,1.15,5,5,1412.35
25,150,15,6,42,125,20,1.15,5,6,938.76
25,150,15,6,42,125,20,1.15,5,7,1131.26
25,150,15,6,42,125,20,1.15,5,8,1133.09
25,150,15,6,42,125,20,1.15,5,9,916.26
25,150,15,6,42,125,20,1.15,5,10,902.54
25,150,15,6,42,125,20,1.15,5,11,913.9
25,150,15,6,42,125,20,1.15,5,12,921.4
25,150,15,6,42,125,20,1.15,7.5,1,5996.82
25,150,15,6,42,125,20,1.15,7.5,2,4371.13
25,150,15,6,42,125,20,1.15,7.5,3,4244.78
25,150,15,6,42,125,20,1.15,7.5,4,3702.98
25,150,15,6,42,125,20,1.15,7.5,5,3583.05
25,150,15,6,42,125,20,1.15,7.5,6,2847.03
25,150,15,6,42,125,20,1.15,7.5,7,2905.76
25,150,15,6,42,125,20,1.15,7.5,8,2789.4
25,150,15,6,42,125,20,1.15,7.5,9,2639.49
25,150,15,6,42,125,20,1.15,7.5,10,2781.41
25,150,15,6,42,125,20,1.15,7.5,11,2529.65
25,150,15,6,42,125,20,1.15,7.5,12,2381.74
25,150,15,6,42,125,20,1.15,10,1,7813.26
25,150,15,6,42,125,20,1.15,10,2,7873.91
25,150,15,6,42,125,20,1.15,10,3,6541.66
25,150,15,6,42,125,20,1.15,10,4,3561.94
25,150,15,6,42,125,20,1.15,10,5,5055.63
25,150,15,6,42,125,20,1.15,10,6,5208.93
25,150,15,6,42,125,20,1.15,10,7,4970.61
25,150,15,6,42,125,20,1.15,10,8,3682.94
25,150,15,6,42,125,20,1.15,10,9,3141.07
25,150,15,6,42,125,20,1.15,10,10,3250.81
25,150,15,6,42,125,20,1.15,10,11,3301.01
25,150,15,6,42,125,20,1.15,10,12,3106.74
25,150,25,6,42,125,10,3.43,5,1,3433.58
25,150,25,6,42,125,10,3.43,5,2,4068.17
25,150,25,6,42,125,10,3.43,5,3,2111.02
25,150,25,6,42,125,10,3.43,5,4,1177.32
25,150,25,6,42,125,10,3.43,5,5,1066.45
25,150,25,6,42,125,10,3.43,5,6,1244.09
25,150,25,6,42,125,10,3.43,5,7,1656.11
25,150,25,6,42,125,10,3.43,5,8,2052.26
25,150,25,6,42,125,10,3.43,5,9,2082.21
25,150,25,6,42,125,10,3.43,5,10,2785.76
25,150,25,6,42,125,10,3.43,5,11,2865.79
25,150,25,6,42,125,10,3.43,5,12,2801.51
25,150,25,6,42,125,10,3.43,7.5,1,4872.04
25,150,25,6,42,125,10,3.43,7.5,2,5854.94
25,150,25,6,42,125,10,3.43,7.5,3,3508.34
25,150,25,6,42,125,10,3.43,7.5,4,3330.53
25,150,25,6,42,125,10,3.43,7.5,5,3603.36
25,150,25,6,42,125,10,3.43,7.5,6,3372.04
25,150,25,6,42,125,10,3.43,7.5,7,4446.35
25,150,25,6,42,125,10,3.43,7.5,8,4060.67
25,150,25,6,42,125,10,3.43,7.5,9,4999.26
25,150,25,6,42,125,10,3.43,7.5,10,6533.32
25,150,25,6,42,125,10,3.43,7.5,11,7239.86
25,150,25,6,42,125,10,3.43,7.5,12,6527.71
25,150,25,6,42,125,10,3.43,10,1,7769.49
25,150,25,6,42,125,10,3.43,10,2,8548.1
25,150,25,6,42,125,10,3.43,10,3,5929.22
25,150,25,6,42,125,10,3.43,10,4,7159.22
25,150,25,6,42,125,10,3.43,10,5,7756.04
25,150,25,6,42,125,10,3.43,10,6,5873.88
25,150,25,6,42,125,10,3.43,10,7,6804.86
25,150,25,6,42,125,10,3.43,10,8,6538.54
25,150,25,6,42,125,10,3.43,10,9,7557.88
25,150,25,6,42,125,10,3.43,10,10,11780.12
25,150,25,6,42,125,10,3.43,10,11,12005.85
25,150,25,6,42,125,10,3.43,10,12,11485.85
25,150,35,6,42,125,10,3.43,5,1,1677.05
25,150,35,6,42,125,10,3.43,5,2,3181.72
25,150,35,6,42,125,10,3.43,5,3,2367.63
25,150,35,6,42,125,10,3.43,5,4,2368.46
25,150,35,6,42,125,10,3.43,5,5,1961.29
25,150,35,6,42,125,10,3.43,5,6,1847.79
25,150,35,6,42,125,10,3.43,5,7,1108.16
25,150,35,6,42,125,10,3.43,5,8,1765.52
25,150,35,6,42,125,10,3.43,5,9,1915.31
25,150,35,6,42,125,10,3.43,5,10,2052.13
25,150,35,6,42,125,10,3.43,5,11,2062.72
25,150,35,6,42,125,10,3.43,5,12,2093.63
25,150,35,6,42,125,10,3.43,7.5,1,4147.96
25,150,35,6,42,125,10,3.43,7.5,2,7547.34
25,150,35,6,42,125,10,3.43,7.5,3,5592.15
25,150,35,6,42,125,10,3.43,7.5,4,5440.84
25,150,35,6,42,125,10,3.43,7.5,5,6373.59
25,150,35,6,42,125,10,3.43,7.5,6,7846.61
25,150,35,6,42,125,10,3.43,7.5,7,7722.92
25,150,35,6,42,125,10,3.43,7.5,8,7598.58
25,150,35,6,42,125,10,3.43,7.5,9,9221.93
25,150,35,6,42,125,10,3.43,7.5,10,11569.5
25,150,35,6,42,125,10,3.43,7.5,11,10638.91
25,150,35,6,42,125,10,3.43,7.5,12,12919.08
25,150,15,6,83.5,83.5,10,5.13,5,1,3178.26
25,150,15,6,83.5,83.5,10,5.13,5,2,3505.93
25,150,15,6,83.5,83.5,10,5.13,5,3,2356.29
25,150,15,6,83.5,83.5,10,5.13,5,4,1842.99
25,150,15,6,83.5,83.5,10,5.13,5,5,1268.31
25,150,15,6,83.5,83.5,10,5.13,5,6,980.87
25,150,15,6,83.5,83.5,10,5.13,5,7,949.3
25,150,15,6,83.5,83.5,10,5.13,5,8,1102.83
25,150,15,6,83.5,83.5,10,5.13,5,9,1057.14
25,150,15,6,83.5,83.5,10,5.13,5,10,1583.4
25,150,15,6,83.5,83.5,10,5.13,5,11,1705
25,150,15,6,83.5,83.5,10,5.13,5,12,1927.41
25,150,15,6,83.5,83.5,10,5.13,7.5,1,5018.01
25,150,15,6,83.5,83.5,10,5.13,7.5,2,6581.3
25,150,15,6,83.5,83.5,10,5.13,7.5,3,4208.88
25,150,15,6,83.5,83.5,10,5.13,7.5,4,3799.56
25,150,15,6,83.5,83.5,10,5.13,7.5,5,3722.91
25,150,15,6,83.5,83.5,10,5.13,7.5,6,3354.65
25,150,15,6,83.5,83.5,10,5.13,7.5,7,2994.9
25,150,15,6,83.5,83.5,10,5.13,7.5,8,3223.08
25,150,15,6,83.5,83.5,10,5.13,7.5,9,4942.02
