D,S,J,Q,ho_ratio,do_ratio,hc_ratio,hz_ratio,du_ratio,Hi,y
25,150,3.43,7.5,0.6,0.4,1.68,5,0.4,3,4403.85498
25,150,3.43,7.5,0.6,0.4,1.68,5,0.4,4,4274.82178
25,150,3.43,7.5,0.6,0.4,1.68,5,0.4,5,5212.2251
25,150,3.43,7.5,0.6,0.4,1.68,5,0.4,6,3602.56592
25,150,3.43,7.5,0.6,0.4,1.68,5,0.4,7,4192.35986
25,150,3.43,7.5,0.6,0.4,1.68,5,0.4,8,5051.38623
25,150,3.43,7.5,0.6,0.4,1.68,5,0.4,9,4706.646
25,150,3.43,7.5,0.6,0.4,1.68,5,0.4,10,6399.72119
25,150,3.43,7.5,0.6,0.4,1.68,5,0.4,11,6103.72314
25,150,3.43,7.5,0.6,0.4,1.68,5,0.4,12,6313.18994
25,150,3.43,10,0.6,0.4,1.68,5,0.4,1,8098.66016
25,150,3.43,10,0.6,0.4,1.68,5,0.4,2,9341.80469
25,150,3.43,10,0.6,0.4,1.68,5,0.4,3,8322.11035
25,150,3.43,10,0.6,0.4,1.68,5,0.4,4,6628.17383
25,150,3.43,10,0.6,0.4,1.68,5,0.4,5,6355.854
25,150,3.43,10,0.6,0.4,1.68,5,0.4,6,7033.104
25,150,3.43,10,0.6,0.4,1.68,5,0.4,7,7022.25293
25,150,3.43,10,0.6,0.4,1.68,5,0.4,8,8289.53809
25,150,3.43,10,0.6,0.4,1.68,5,0.4,9,5987.41992
25,150,3.43,10,0.6,0.4,1.68,5,0.4,10,9870.04688
25,150,3.43,10,0.6,0.4,1.68,5,0.4,11,11117.0898
25,150,3.43,10,0.6,0.4,1.68,5,0.4,12,10344.9404
25,150,2.29,5,0.6,0.24,1.68,5,0.6,1,3603.45508
25,150,2.29,5,0.6,0.24,1.68,5,0.6,2,3784.56812
25,150,2.29,5,0.6,0.24,1.68,5,0.6,3,899.210999
25,150,2.29,5,0.6,0.24,1.68,5,0.6,4,1356.98303
25,150,2.29,5,0.6,0.24,1.68,5,0.6,5,1187.83496
25,150,2.29,5,0.6,0.24,1.68,5,0.6,6,1328.84802
25,150,2.29,5,0.6,0.24,1.68,5,0.6,7,1040.35901
25,150,2.29,5,0.6,0.24,1.68,5,0.6,8,942.781128
25,150,2.29,5,0.6,0.24,1.68,5,0.6,9,921.815613
25,150,2.29,5,0.6,0.24,1.68,5,0.6,10,996.450684
25,150,2.29,5,0.6,0.24,1.68,5,0.6,11,1183.20105
25,150,2.29,5,0.6,0.24,1.68,5,0.6,12,1244.52295
25,150,2.29,7.5,0.6,0.24,1.68,5,0.6,1,5605.74609
25,150,2.29,7.5,0.6,0.24,1.68,5,0.6,2,6345.68994
25,150,2.29,7.5,0.6,0.24,1.68,5,0.6,3,2941.94092
25,150,2.29,7.5,0.6,0.24,1.68,5,0.6,4,2832.37793
25,150,2.29,7.5,0.6,0.24,1.68,5,0.6,5,3278.11011
25,150,2.29,7.5,0.6,0.24,1.68,5,0.6,6,3659.03589
25,150,2.29,7.5,0.6,0.24,1.68,5,0.6,7,2855
25,150,2.29,7.5,0.6,0.24,1.68,5,0.6,8,2571.37207
25,150,2.29,7.5,0.6,0.24,1.68,5,0.6,9,3230.04492
25,150,2.29,7.5,0.6,0.24,1.68,5,0.6,10,2960.40405
25,150,2.29,7.5,0.6,0.24,1.68,5,0.6,11,2961.34692
25,150,2.29,7.5,0.6,0.24,1.68,5,0.6,12,3199.42798
25,150,2.29,10,0.6,0.24,1.68,5,0.6,1,7970.979
25,150,2.29,10,0.6,0.24,1.68,5,0.6,2,5181.19287
25,150,2.29,10,0.6,0.24,1.68,5,0.6,3,4405.46777
25,150,2.29,10,0.6,0.24,1.68,5,0.6,4,6144.93506
25,150,2.29,10,0.6,0.24,1.68,5,0.6,5,6490.30176
25,150,2.29,10,0.6,0.24,1.68,5,0.6,6,5085.60107
25,150,2.29,10,0.6,0.24,1.68,5,0.6,7,5218.94385
25,150,2.29,10,0.6,0.24,1.68,5,0.6,8,3838.31909
25,150,2.29,10,0.6,0.24,1.68,5,0.6,9,5614.88379
25,150,2.29,10,0.6,0.24,1.68,5,0.6,10,5159.19922
25,150,2.29,10,0.6,0.24,1.68,5,0.6,11,6194.62402
25,150,2.29,10,0.6,0.24,1.68,5,0.6,12,6243.82617
25,150,1.15,5,0.6,0.24,1.68,5,0.8,1,3451.37012
25,150,1.15,5,0.6,0.24,1.68,5,0.8,2,3359.63208
25,150,1.15,5,0.6,0.24,1.68,5,0.8,3,2445.67798
25,150,1.15,5,0.6,0.24,1.68,5,0.8,4,2075.87695
25,150,1.15,5,0.6,0.24,1.68,5,0.8,5,1412.34595
25,150,1.15,5,0.6,0.24,1.68,5,0.8,6,938.759888
25,150,1.15,5,0.6,0.24,1.68,5,0.8,7,1131.25696
25,150,1.15,5,0.6,0.24,1.68,5,0.8,8,1133.08899
25,150,1.15,5,0.6,0.24,1.68,5,0.8,9,916.260986
25,150,1.15,5,0.6,0.24,1.68,5,0.8,10,902.544922
25,150,1.15,5,0.6,0.24,1.68,5,0.8,11,913.903015
25,150,1.15,5,0.6,0.24,1.68,5,0.8,12,921.396484
25,150,1.15,7.5,0.6,0.24,1.68,5,0.8,1,5996.82324
25,150,1.15,7.5,0.6,0.24,1.68,5,0.8,2,4371.13086
25,150,1.15,7.5,0.6,0.24,1.68,5,0.8,3,4244.77588
25,150,1.15,7.5,0.6,0.24,1.68,5,0.8,4,3702.97607
25,150,1.15,7.5,0.6,0.24,1.68,5,0.8,5,3583.0459
25,150,1.15,7.5,0.6,0.24,1.68,5,0.8,6,2847.03394
25,150,1.15,7.5,0.6,0.24,1.68,5,0.8,7,2905.7561
25,150,1.15,7.5,0.6,0.24,1.68,5,0.8,8,2789.39795
25,150,1.15,7.5,0.6,0.24,1.68,5,0.8,9,2639.49097
25,150,1.15,7.5,0.6,0.24,1.68,5,0.8,10,2781.41406
25,150,1.15,7.5,0.6,0.24,1.68,5,0.8,11,2529.64697
25,150,1.15,7.5,0.6,0.24,1.68,5,0.8,12,2381.73999
25,150,1.15,10,0.6,0.24,1.68,5,0.8,1,7813.26221
25,150,1.15,10,0.6,0.24,1.68,5,0.8,2,7873.90723
25,150,1.15,10,0.6,0.24,1.68,5,0.8,3,6541.66113
25,150,1.15,10,0.6,0.24,1.68,5,0.8,4,3561.94312
25,150,1.15,10,0.6,0.24,1.68,5,0.8,5,5055.63281
25,150,1.15,10,0.6,0.24,1.68,5,0.8,6,5208.92676
25,150,1.15,10,0.6,0.24,1.68,5,0.8,7,4970.61279
25,150,1.15,10,0.6,0.24,1.68,5,0.8,8,3682.93701
25,150,1.15,10,0.6,0.24,1.68,5,0.8,9,3141.07202
25,150,1.15,10,0.6,0.24,1.68,5,0.8,10,3250.80908
25,150,1.15,10,0.6,0.24,1.68,5,0.8,11,3301.01196
25,150,1.15,10,0.6,0.24,1.68,5,0.8,12,3106.7439
25,150,3.43,5,1,0.24,1.68,5,0.4,1,3433.58008
25,150,3.43,5,1,0.24,1.68,5,0.4,2,4068.16895
25,150,3.43,5,1,0.24,1.68,5,0.4,3,2111.02393
25,150,3.43,5,1,0.24,1.68,5,0.4,4,1177.323
25,150,3.43,5,1,0.24,1.68,5,0.4,5,1066.45105
25,150,3.43,5,1,0.24,1.68,5,0.4,6,1244.09399
25,150,3.43,5,1,0.24,1.68,5,0.4,7,1656.11096
25,150,3.43,5,1,0.24,1.68,5,0.4,8,2052.2561
25,150,3.43,5,1,0.24,1.68,5,0.4,9,2082.21094
25,150,3.43,5,1,0.24,1.68,5,0.4,10,2785.76196
25,150,3.43,5,1,0.24,1.68,5,0.4,11,2865.78906
25,150,3.43,5,1,0.24,1.68,5,0.4,12,2801.51001
25,150,3.43,7.5,1,0.24,1.68,5,0.4,1,4872.04492
25,150,3.43,7.5,1,0.24,1.68,5,0.4,2,5854.93799
25,150,3.43,7.5,1,0.24,1.68,5,0.4,3,3508.34204
25,150,3.43,7.5,1,0.24,1.68,5,0.4,4,3330.53003
25,150,3.43,7.5,1,0.24,1.68,5,0.4,5,3603.36304
25,150,3.43,7.5,1,0.24,1.68,5,0.4,6,3372.04004
25,150,3.43,7.5,1,0.24,1.68,5,0.4,7,4446.3501
25,150,3.43,7.5,1,0.24,1.68,5,0.4,8,4060.66992
25,150,3.43,7.5,1,0.24,1.68,5,0.4,9,4999.25879
25,150,3.43,7.5,1,0.24,1.68,5,0.4,10,6533.31982
25,150,3.43,7.5,1,0.24,1.68,5,0.4,11,7239.86182
25,150,3.43,7.5,1,0.24,1.68,5,0.4,12,6527.71289
25,150,3.43,10,1,0.24,1.68,5,0.4,1,7769.48877
25,150,3.43,10,1,0.24,1.68,5,0.4,2,8548.0957
25,150,3.43,10,1,0.24,1.68,5,0.4,3,5929.21582
25,150,3.43,10,1,0.24,1.68,5,0.4,4,7159.22021
25,150,3.43,10,1,0.24,1.68,5,0.4,5,7756.04102
25,150,3.43,10,1,0.24,1.68,5,0.4,6,5873.87988
25,150,3.43,10,1,0.24,1.68,5,0.4,7,6804.86279
25,150,3.43,10,1,0.24,1.68,5,0.4,8,6538.53613
25,150,3.43,10,1,0.24,1.68,5,0.4,9,7557.87598
25,150,3.43,10,1,0.24,1.68,5,0.4,10,11780.1201
25,150,3.43,10,1,0.24,1.68,5,0.4,11,12005.8496
25,150,3.43,10,1,0.24,1.68,5,0.4,12,11485.8496
25,150,3.43,5,1.4,0.24,1.68,5,0.4,1,1677.047
25,150,3.43,5,1.4,0.24,1.68,5,0.4,2,3181.71802
25,150,3.43,5,1.4,0.24,1.68,5,0.4,3,2367.62598
25,150,3.43,5,1.4,0.24,1.68,5,0.4,4,2368.45508
25,150,3.43,5,1.4,0.24,1.68,5,0.4,5,1961.28699
25,150,3.43,5,1.4,0.24,1.68,5,0.4,6,1847.78503
25,150,3.43,5,1.4,0.24,1.68,5,0.4,7,1108.15906
25,150,3.43,5,1.4,0.24,1.68,5,0.4,8,1765.52405
25,150,3.43,5,1.4,0.24,1.68,5,0.4,9,1915.30896
25,150,3.43,5,1.4,0.24,1.68,5,0.4,10,2052.13306
25,150,3.43,5,1.4,0.24,1.68,5,0.4,11,2062.72192
25,150,3.43,5,1.4,0.24,1.68,5,0.4,12,2093.62891
25,150,3.43,7.5,1.4,0.24,1.68,5,0.4,1,4147.95801
25,150,3.43,7.5,1.4,0.24,1.68,5,0.4,2,7547.34424
25,150,3.43,7.5,1.4,0.24,1.68,5,0.4,3,5592.14893
25,150,3.43,7.5,1.4,0.24,1.68,5,0.4,4,5440.84277
25,150,3.43,7.5,1.4,0.24,1.68,5,0.4,5,6373.58594
25,150,3.43,7.5,1.4,0.24,1.68,5,0.4,6,7846.61377
25,150,3.43,7.5,1.4,0.24,1.68,5,0.4,7,7722.91699
25,150,3.43,7.5,1.4,0.24,1.68,5,0.4,8,7598.58203
25,150,3.43,7.5,1.4,0.24,1.68,5,0.4,9,9221.93164
25,150,3.43,7.5,1.4,0.24,1.68,5,0.4,10,11569.5
25,150,3.43,7.5,1.4,0.24,1.68,5,0.4,11,10638.9102
25,150,3.43,7.5,1.4,0.24,1.68,5,0.4,12,12919.0801
25,150,5.13,5,0.6,0.24,3.34,3.34,0.4,1,3178.25903
25,150,5.13,5,0.6,0.24,3.34,3.34,0.4,2,3505.93091
25,150,5.13,5,0.6,0.24,3.34,3.34,0.4,3,2356.28906
25,150,5.13,5,0.6,0.24,3.34,3.34,0.4,4,1842.99194
25,150,5.13,5,0.6,0.24,3.34,3.34,0.4,5,1268.31299
25,150,5.13,5,0.6,0.24,3.34,3.34,0.4,6,980.874878
25,150,5.13,5,0.6,0.24,3.34,3.34,0.4,7,949.298279
25,150,5.13,5,0.6,0.24,3.34,3.34,0.4,8,1102.82703
25,150,5.13,5,0.6,0.24,3.34,3.34,0.4,9,1057.14001
25,150,5.13,5,0.6,0.24,3.34,3.34,0.4,10,1583.40405
25,150,5.13,5,0.6,0.24,3.34,3.34,0.4,11,1704.99695
25,150,5.13,5,0.6,0.24,3.34,3.34,0.4,12,1927.40796
25,150,5.13,7.5,0.6,0.24,3.34,3.34,0.4,1,5018.00879
25,150,5.13,7.5,0.6,0.24,3.34,3.34,0.4,2,6581.29883
25,150,5.13,7.5,0.6,0.24,3.34,3.34,0.4,3,4208.88379
25,150,5.13,7.5,0.6,0.24,3.34,3.34,0.4,4,3799.56104
25,150,5.13,7.5,0.6,0.24,3.34,3.34,0.4,5,3722.90698
25,150,5.13,7.5,0.6,0.24,3.34,3.34,0.4,6,3354.64893
25,150,5.13,7.5,0.6,0.24,3.34,3.34,0.4,7,2994.89697
25,150,5.13,7.5,0.6,0.24,3.34,3.34,0.4,8,3223.0791
25,150,5.13,7.5,0.6,0.24,3.34,3.34,0.4,9,4942.01611
25,150,5.13,7.5,0.6,0.24,3.34,3.34,0.4,10,6275.3042
25,150,5.13,7.5,0.6,0.24,3.34,3.34,0.4,11,6476.13818
25,150,5.13,7.5,0.6,0.24,3.34,3.34,0.4,12,6414.36182
25,150,10.12,5,0.6,0.24,5,1.68,0.4,1,3171.14502
25,150,10.12,5,0.6,0.24,5,1.68,0.4,2,3332.73608
25,150,10.12,5,0.6,0.24,5,1.68,0.4,3,2511.95288
25,150,10.12,5,0.6,0.24,5,1.68,0.4,4,1752.69202
25,150,10.12,5,0.6,0.24,5,1.68,0.4,5,1434.81006
25,150,10.12,5,0.6,0.24,5,1.68,0.4,6,1157.32397
25,150,10.12,5,0.6,0.24,5,1.68,0.4,7,953.18042
25,150,10.12,5,0.6,0.24,5,1.68,0.4,8,718.199524
25,150,10.12,5,0.6,0.24,5,1.68,0.4,9,956.296387
25,150,10.12,5,0.6,0.24,5,1.68,0.4,10,1677.32397
25,150,10.12,5,0.6,0.24,5,1.68,0.4,11,2256.10303
25,150,10.12,5,0.6,0.24,5,1.68,0.4,12,2856.24902
25,150,10.12,7.5,0.6,0.24,5,1.68,0.4,1,5559.02783
25,150,10.12,7.5,0.6,0.24,5,1.68,0.4,2,6063.07422
25,150,10.12,7.5,0.6,0.24,5,1.68,0.4,3,5056.21094
25,150,10.12,7.5,0.6,0.24,5,1.68,0.4,4,3342.10303
25,150,10.12,7.5,0.6,0.24,5,1.68,0.4,5,3477.48901
25,150,10.12,7.5,0.6,0.24,5,1.68,0.4,6,3084.84302
25,150,10.12,7.5,0.6,0.24,5,1.68,0.4,7,2462.23389
25,150,10.12,7.5,0.6,0.24,5,1.68,0.4,8,2059.28101
25,150,10.12,7.5,0.6,0.24,5,1.68,0.4,9,2717.53003
25,150,10.12,7.5,0.6,0.24,5,1.68,0.4,10,4617.29492
25,150,10.12,7.5,0.6,0.24,5,1.68,0.4,11,4834.10889
25,150,10.12,7.5,0.6,0.24,5,1.68,0.4,12,4991.98193
25,100,3.43,5,0.6,0.24,1.68,5,0.4,1,3077.354
25,100,3.43,5,0.6,0.24,1.68,5,0.4,2,2408.08203
25,100,3.43,5,0.6,0.24,1.68,5,0.4,3,1178.15002
25,100,3.43,5,0.6,0.24,1.68,5,0.4,4,1225.83997
25,100,3.43,5,0.6,0.24,1.68,5,0.4,5,1027.91199
25,100,3.43,5,0.6,0.24,1.68,5,0.4,6,976.72821
25,100,3.43,5,0.6,0.24,1.68,5,0.4,7,818.502686
25,100,3.43,5,0.6,0.24,1.68,5,0.4,8,583.94043
25,100,3.43,5,0.6,0.24,1.68,5,0.4,9,521.99231
25,100,3.43,5,0.6,0.24,1.68,5,0.4,10,572.988403
25,100,3.43,5,0.6,0.24,1.68,5,0.4,11,572.988403
25,100,3.43,5,0.6,0.24,1.68,5,0.4,12,668.687805
25,100,3.43,7.5,0.6,0.24,1.68,5,0.4,1,5030.40918
25,100,3.43,7.5,0.6,0.24,1.68,5,0.4,2,5223.39502
25,100,3.43,7.5,0.6,0.24,1.68,5,0.4,3,2863.31396
25,100,3.43,7.5,0.6,0.24,1.68,5,0.4,4,1893.23706
25,100,3.43,7.5,0.6,0.24,1.68,5,0.4,5,1515.66199
25,100,3.43,7.5,0.6,0.24,1.68,5,0.4,6,1885.23096
25,100,3.43,7.5,0.6,0.24,1.68,5,0.4,7,1600.73596
25,100,3.43,7.5,0.6,0.24,1.68,5,0.4,8,1825.604
25,100,3.43,7.5,0.6,0.24,1.68,5,0.4,9,1912.95898
25,100,3.43,7.5,0.6,0.24,1.68,5,0.4,10,2998.66992
25,100,3.43,7.5,0.6,0.24,1.68,5,0.4,11,3921.00708
25,100,3.43,7.5,0.6,0.24,1.68,5,0.4,12,3830.56299
25,100,3.43,10,0.6,0.24,1.68,5,0.4,1,7130.25195
25,100,3.43,10,0.6,0.24,1.68,5,0.4,2,6109.02686
25,100,3.43,10,0.6,0.24,1.68,5,0.4,3,5421.02197
25,100,3.43,10,0.6,0.24,1.68,5,0.4,4,4772.51904
25,100,3.43,10,0.6,0.24,1.68,5,0.4,5,3089.85596
25,100,3.43,10,0.6,0.24,1.68,5,0.4,6,3533.26001
25,100,3.43,10,0.6,0.24,1.68,5,0.4,7,3374.80591
25,100,3.43,10,0.6,0.24,1.68,5,0.4,8,3739.28394
25,100,3.43,10,0.6,0.24,1.68,5,0.4,9,4088.49707
25,100,3.43,10,0.6,0.24,1.68,5,0.4,10,6771.33691
25,100,3.43,10,0.6,0.24,1.68,5,0.4,11,6832.23291
25,100,3.43,10,0.6,0.24,1.68,5,0.4,12,6800.54199
25,200,3.43,5,0.6,0.24,1.68,5,0.4,1,3180.97607
25,200,3.43,5,0.6,0.24,1.68,5,0.4,2,3641.375
25,200,3.43,5,0.6,0.24,1.68,5,0.4,3,3251.41797
25,200,3.43,5,0.6,0.24,1.68,5,0.4,4,1814.56995
25,200,3.43,5,0.6,0.24,1.68,5,0.4,5,1916.81299
25,200,3.43,5,0.6,0.24,1.68,5,0.4,6,761.537476
25,200,3.43,5,0.6,0.24,1.68,5,0.4,7,907.118774
25,200,3.43,5,0.6,0.24,1.68,5,0.4,8,1404.70496
25,200,3.43,5,0.6,0.24,1.68,5,0.4,9,1705.90295
25,200,3.43,5,0.6,0.24,1.68,5,0.4,10,2289.87891
25,200,3.43,5,0.6,0.24,1.68,5,0.4,11,2763.32202
25,200,3.43,5,0.6,0.24,1.68,5,0.4,12,3098.11304
25,200,3.43,7.5,0.6,0.24,1.68,5,0.4,1,4709.29492
25,200,3.43,7.5,0.6,0.24,1.68,5,0.4,2,5305.604
25,200,3.43,7.5,0.6,0.24,1.68,5,0.4,3,5379.02783
25,200,3.43,7.5,0.6,0.24,1.68,5,0.4,4,4245.68994
25,200,3.43,7.5,0.6,0.24,1.68,5,0.4,5,3512.19897
25,200,3.43,7.5,0.6,0.24,1.68,5,0.4,6,3535.65894
25,200,3.43,7.5,0.6,0.24,1.68,5,0.4,7,4209.20215
25,200,3.43,7.5,0.6,0.24,1.68,5,0.4,8,4693.22217
25,200,3.43,7.5,0.6,0.24,1.68,5,0.4,9,5978.90186
25,200,3.43,7.5,0.6,0.24,1.68,5,0.4,10,7758.3418
25,200,3.43,7.5,0.6,0.24,1.68,5,0.4,11,7718.104
25,200,3.43,7.5,0.6,0.24,1.68,5,0.4,12,7686.52881
25,200,3.43,10,0.6,0.24,1.68,5,0.4,1,0
25,200,3.43,10,0.6,0.24,1.68,5,0.4,2,8938.13086
25,200,3.43,10,0.6,0.24,1.68,5,0.4,3,8891.72168
25,200,3.43,10,0.6,0.24,1.68,5,0.4,4,7419.05615
25,200,3.43,10,0.6,0.24,1.68,5,0.4,5,7394.10205
25,200,3.43,10,0.6,0.24,1.68,5,0.4,6,6568.61182
25,200,3.43,10,0.6,0.24,1.68,5,0.4,7,4631.81299
25,200,3.43,10,0.6,0.24,1.68,5,0.4,8,8141.08301
25,200,3.43,10,0.6,0.24,1.68,5,0.4,9,11167.8203
25,200,3.43,10,0.6,0.24,1.68,5,0.4,10,14417.0898
25,200,3.43,10,0.6,0.24,1.68,5,0.4,11,16457.4707
25,200,3.43,10,0.6,0.24,1.68,5,0.4,12,15169.04
75,1350,4.7,5,0.4,0.466666667,2,3,0.506666667,1,0
75,1350,4.7,5,0.4,0.466666667,2,3,0.506666667,2,4620.366258
75,1350,4.7,5,0.4,0.466666667,2,3,0.506666667,3,3916.198242
75,1350,4.7,5,0.4,0.466666667,2,3,0.506666667,4,3370.664992
75,1350,4.7,5,0.4,0.466666667,2,3,0.506666667,5,4050.485058
75,1350,4.7,5,0.4,0.466666667,2,3,0.506666667,6,3366.345996
75,1350,4.7,5,0.4,0.466666667,2,3,0.506666667,7,3916.41631
75,1350,4.7,5,0.4,0.466666667,2,3,0.506666667,8,4067.082422
75,1350,4.7,5,0.4,0.466666667,2,3,0.506666667,9,4627.13252
75,1350,4.7,5,0.4,0.466666667,2,3,0.506666667,10,4291.702438
75,1350,4.7,5,0.4,0.466666667,2,3,0.506666667,11,5710
75,1350,4.7,5,0.4,0.466666667,2,3,0.506666667,12,5590
75,1350,4.7,7.5,0.4,0.466666667,2,3,0.506666667,1,0
75,1350,4.7,7.5,0.4,0.466666667,2,3,0.506666667,2,7251.469628
75,1350,4.7,7.5,0.4,0.466666667,2,3,0.506666667,3,7512.50762
75,1350,4.7,7.5,0.4,0.466666667,2,3,0.506666667,4,6693.077442
75,1350,4.7,7.5,0.4,0.466666667,2,3,0.506666667,5,7309.711914
75,1350,4.7,7.5,0.4,0.466666667,2,3,0.506666667,6,7116.57549
75,1350,4.7,7.5,0.4,0.466666667,2,3,0.506666667,7,7439.927538
